977959	1048576
1.0214e+06	1048576
1.06485e+06	1048576
1.03009e+06	1048576
1.03009e+06	1048576
1.03009e+06	1048576
1.09962e+06	1048576
1.08223e+06	1048576
1.08223e+06	1048576
891126	1048576
882445	1048576
1.1344e+06	1048576
1.0214e+06	1048576
1.07354e+06	1048576
1.0214e+06	1048576
1.1257e+06	1048576
934535	1048576
873766	1048576
1.06485e+06	1048576
1.04747e+06	1048576
1.09962e+06	1048576
1.09093e+06	1048576
1.09962e+06	1048576
908488	1048576
1.03009e+06	1048576
1.11701e+06	1048576
1.10831e+06	1048576
1.16049e+06	1048576
925852	1048576
899806	1048576
977959	1048576
960587	1048576
1.16049e+06	1048576
1.10831e+06	1048576
1.06485e+06	1048576
1.09962e+06	1048576
1.11701e+06	1048576
1.11701e+06	1048576
1.05616e+06	1048576
1.11701e+06	1048576
1.2475e+06	1048576
951903	1048576
882445	1048576
969273	1048576
1.04747e+06	1048576
1.1344e+06	1048576
1.0214e+06	1048576
986645	1048576
969273	1048576
1.1344e+06	1048576
943219	1048576
1.03878e+06	1048576
1.03878e+06	1048576
1.10831e+06	1048576
1.10831e+06	1048576
1.08223e+06	1048576
960587	1048576
969273	1048576
839053	1048576
1.00402e+06	1048576
1.15179e+06	1048576
960587	1048576
977959	1048576
1.2562e+06	1048576
1.06485e+06	1048576
1.00402e+06	1048576
1.09093e+06	1048576
1.05616e+06	1048576
969273	1048576
1.16919e+06	1048576
986645	1048576
1.05616e+06	1048576
1.03878e+06	1048576
925852	1048576
1.16049e+06	1048576
934535	1048576
1.22139e+06	1048576
1.00402e+06	1048576
856408	1048576
1.1344e+06	1048576
925852	1048576
969273	1048576
1.2475e+06	1048576
1.04747e+06	1048576
908488	1048576
1.05616e+06	1048576
1.00402e+06	1048576
1.1344e+06	1048576
1.06485e+06	1048576
969273	1048576
960587	1048576
1.18659e+06	1048576
925852	1048576
1.2388e+06	1048576
1.15179e+06	1048576
1.01271e+06	1048576
899806	1048576
1.0214e+06	1048576
995332	1048576
943219	1048576
